node_name,process_name,total_start,laststart,,total_fail,lastfail,,,,
fm57-c07b,ospl,1,2022-12-14 09:15:46.320462,,1,2022-12-14 12:53:34.298645,,,,
fm57-c07b,ospl,1,2022-12-14 13:54:18.173049,,1,2022-12-14 15:49:24.851594,,,,
fm57-c07b,ospl,1,2022-12-14 19:57:07.640263,,1,2022-12-14 21:26:55.895908,,,,
fm57-c07b,ospl,2,2022-12-15 03:17:51.819002,,2,2022-12-15 03:24:43.928246,,,,
fm57-c07b,spliced,1,2022-12-12 23:38:33.925958,,1,2022-12-13 04:16:20.641615,,,,
fm57-c07b,spliced,1,2022-12-13 17:56:57.625375,,1,2022-12-13 18:48:08.148468,,,,
fm57-c07b,spliced,1,2022-12-13 20:43:13.023504,,1,2022-12-13 23:44:33.392680,,,,
fm57-c07b,spliced,1,2022-12-14 09:15:46.361615,,1,2022-12-14 12:53:34.285815,,,,
fm57-c07b,spliced,1,2022-12-14 13:54:18.202827,,1,2022-12-14 15:49:24.881548,,,,
fm57-c07b,spliced,1,2022-12-14 19:57:07.672133,,1,2022-12-14 21:26:55.918095,,,,
fm57-c07b,spliced,2,2022-12-15 03:17:51.855959,,2,2022-12-15 03:24:43.948981,,,,
fm57-c08a,ospl,1,2022-12-13 08:33:47.457962,,1,2022-12-13 10:31:47.162673,,,,
fm57-c08a,spliced,1,2022-12-13 08:33:47.498143,,1,2022-12-13 10:31:47.179405,,,,
fm57-c08b,durability,1,2022-12-12 20:51:34.551045,,1,2022-12-12 22:41:55.105819,,,,
fm57-c08b,durability,1,2022-12-12 23:38:33.952186,,1,2022-12-13 04:15:47.877847,,,,
fm57-c08b,durability,1,2022-12-13 08:33:46.129261,,1,2022-12-13 10:31:20.148439,,,,
fm57-c08b,durability,1,2022-12-13 14:02:51.159096,,1,2022-12-13 15:43:26.488523,,,,
fm57-c08b,durability,1,2022-12-13 17:56:57.116857,,1,2022-12-13 19:00:44.820180,,,,
fm57-c08b,durability,1,2022-12-13 20:43:11.937798,,1,2022-12-13 23:48:44.327604,,,,
fm57-c08b,durability,1,2022-12-14 13:54:20.009903,,1,2022-12-14 15:49:21.833150,,,,
fm57-c08b,durability,1,2022-12-14 19:57:10.797527,,1,2022-12-14 21:28:02.323999,,,,
fm57-c08b,networking,1,2022-12-13 08:33:46.110504,,1,2022-12-13 10:31:36.652341,,,,
fm57-c08b,ospl,1,2022-12-12 20:51:34.478596,,1,2022-12-12 22:42:00.685160,,,,
fm57-c08b,ospl,1,2022-12-12 23:38:33.859933,,1,2022-12-13 04:15:59.252418,,,,
