node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail,,,,,
fm57-03,Rms-node-run,3,2022-12-12 14:07:57.349189,2022-12-12 16:31:24.027797,1,2022-12-12 16:31:24.048744,2022-12-12 16:31:24.048744,2.42442183662206E-07,,0,2022-12-12 16:39:51,0.005867491388926
fm57-04,Rms-node-run,3,2022-12-12 14:07:46.253831,2022-12-12 16:31:09.266856,1,2022-12-12 16:31:09.398841,2022-12-12 16:31:09.398841,1.52760185301304E-06,,0,2022-12-12 16:39:52,0.006048624527466
fm57-05,Rms-node-run,3,2022-12-12 14:07:49.612213,2022-12-12 16:31:14.791491,1,2022-12-12 16:31:14.831565,2022-12-12 16:31:14.831565,4.63820470031351E-07,,0,2022-12-12 16:39:53,0.005997319844028
fm57-05,Esm-control-run,1,2022-12-12 16:31:23.877384,2022-12-12 16:31:23.877384,1,2022-12-12 16:31:24.977653,2022-12-12 16:31:24.977653,1.27345920191146E-05,,0,2022-12-12 16:39:54,0.005891462351428
fm57-05,Simulation-remote-run,1,2022-12-12 16:31:24.953285,2022-12-12 16:31:24.953285,1,2022-12-12 16:31:26.205160,2022-12-12 16:31:26.205160,1.44892910611816E-05,,0,2022-12-12 16:39:55,0.005888829167816
fm57-05,Vigilance-run,1,2022-12-12 16:31:26.186066,2022-12-12 16:31:26.186066,1,2022-12-12 16:31:27.327508,2022-12-12 16:31:27.327508,1.32111308630556E-05,,0,2022-12-12 16:39:56,0.005887413099117
fm57-05,ThreatManager-run,1,2022-12-12 16:31:27.307333,2022-12-12 16:31:27.307333,1,2022-12-12 16:31:28.576120,2022-12-12 16:31:28.576120,1.4685036148876E-05,,0,2022-12-12 16:39:57,0.005884535647056
fm57-05,NavigationAid-run,1,2022-12-12 16:31:29.670712,2022-12-12 16:31:29.670712,1,2022-12-12 16:31:30.792695,2022-12-12 16:31:30.792695,1.29859108710662E-05,,0,2022-12-12 16:39:58,0.005870454922842
fm57-06,Rms-node-run,3,2022-12-12 14:08:08.872657,2022-12-12 16:31:33.245212,1,2022-12-12 16:31:33.314551,2022-12-12 16:31:33.314551,8.02538124844432E-07,,0,2022-12-12 16:39:59,0.005852840840817
fm57-06,Rms-controller-run,1,2022-12-12 16:31:42.356209,2022-12-12 16:31:42.356209,1,2022-12-12 16:31:43.564665,2022-12-12 16:31:43.564665,1.39867552206852E-05,,0,2022-12-12 16:39:60,#¡VALOR!
